==DEBUG==:request url: https://www.jisilu.cn/data/calendar/get_calendar_data/?qtype=CNV&start=1576512000&end=1579017600&_=1576465861
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV5766', '110058', '【下修股东会】永鼎转债', '转债代码:110058<br>', '2019-12-18')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6031', '128086', '【申购日】国轩转债', '转债代码:128086<br>申购代码:072074<br>配售代码:082074', '2019-12-17')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6032', '128087', '【申购日】孚日转债', '转债代码:128087<br>申购代码:072083<br>配售代码:082083 ', '2019-12-17')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6041', '113027', '【开始转股】华钰转债', '转债代码:113027<br>转股代码:191027', '2019-12-20')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6055', '113557', '【申购日】森特转债', '转债代码:113557<br>申购代码:754098<br>配售代码:753098', '2019-12-19')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6057', '113552', '【上市日】克来转债', '转债代码:113552<br>', '2019-12-19')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CNV6059', '123037', '【申购日】新莱转债', '转债代码:123037<br>申购代码:370260<br>配售代码:380260 ', '2019-12-19')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110033', '110033', '【转债除息】国贸转债', '转债代码:110033<br>每10张付息: 14.00元(含税)', '2020-01-06 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110034', '110034', '【转债除息】九州转债', '转债代码:110034<br>每10张付息: 8.00元(含税)', '2020-01-15 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110041', '110041', '【转债除息】蒙电转债', '转债代码:110041<br>每10张付息: 6.00元(含税)', '2019-12-23 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110042', '110042', '【转债除息】航电转债', '转债代码:110042<br>每10张付息: 5.00元(含税)', '2019-12-25 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110049', '110049', '【转债除息】海尔转债', '转债代码:110049<br>每10张付息: 2.00元(含税)', '2019-12-18 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX110050', '110050', '【转债除息】佳都转债', '转债代码:110050<br>每10张付息: 4.00元(含税)', '2019-12-19 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX113017', '113017', '【转债除息】吉视转债', '转债代码:113017<br>每10张付息: 5.00元(含税)', '2019-12-27 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX113525', '113525', '【转债除息】台华转债', '转债代码:113525<br>每10张付息: 4.00元(含税)', '2019-12-17 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX120002', '120002', '【转债除息】18中原EB', '转债代码:120002<br>每10张付息: 18.00元(含税)', '2019-12-24 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX123004', '123004', '【转债除息】铁汉转债', '转债代码:123004<br>每10张付息: 5.00元(含税)', '2019-12-18 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX123007', '123007', '【转债除息】道氏转债', '转债代码:123007<br>每10张付息: 7.00元(含税)', '2019-12-30 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX123018', '123018', '【转债除息】溢利转债', '转债代码:123018<br>每10张付息: 4.00元(含税)', '2019-12-20 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128028', '128028', '【转债除息】赣锋转债', '转债代码:128028<br>每10张付息: 5.00元(含税)', '2019-12-23 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128029', '128029', '【转债除息】太阳转债', '转债代码:128029<br>每10张付息: 5.00元(含税)', '2019-12-23 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128030', '128030', '【转债除息】天康转债', '转债代码:128030<br>每10张付息: 5.00元(含税)', '2019-12-23 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128032', '128032', '【转债除息】双环转债', '转债代码:128032<br>每10张付息: 5.00元(含税)', '2019-12-25 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128033', '128033', '【转债除息】迪龙转债', '转债代码:128033<br>每10张付息: 5.00元(含税)', '2019-12-27 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('CX128052', '128052', '【转债除息】凯龙转债', '转债代码:128052<br>每10张付息: 5.00元(含税)', '2019-12-23 00:00:02')
REPLACE INTO convertible_bond(id, code, title, description, start) VALUES('C132020', '132020', '【正股分红】19蓝星EB', '转债代码:132020<br>正股代码:600299<br>正股名称:安迪苏<br>每10股派息1.0300元', '2019-12-19 00:00:03')
EXECUTE TIME:  2019-12-17 11:07:53
EXECUTE TIME:  2019-12-17 11:12:05
